application_id_enhancement_5_2_or_revision,application_date,name_of_developers,gna_st_ii_application_id,lta_application_id,voltage_level_kv,substation,state,region,nature_of_applicant,application_quantum_mw,cmets_gna_approved,cmets_gna_meeting_date,battery_injection_mw,installed_breakup_solar_mw,installed_breakup_wind_mw,type,date_for_additional_capacity,status_of_application,granted_quantum_mw,gna_operationalization_date,gna_operationalization_yes_no,installed_breakup_hybrid_mw,_partial_row,applied_start_date,ats_element_unique_code,dtl_element_unique_code,cts_element_unique_code,mode_criteria,_explicit_type_breakup,_capacity_headline_total
,18-02-2025,ReNew Solar Power Private Limited,2200001781,,400.0,Bhadla-V,Rajasthan,NR,"Generating station, including REGS, with ESS",200.0,38.0,28.05.2025,70.0,200.0,,Solar+BESS,,Granted,200.0,30.09.2031,No,,,31-03-2027,,"EL-94625, EL-A658A","EL-654AA, EL-A9814, EL-3CFCF, EL-2D90B, EL-5523F, EL-75882, EL-0BF7F, EL-65D44, EL-B4A45",LOA or PPA,True,200.0
,20-02-2025,Adyant Enersol Private Limited,2200001786,,220.0,Bikaner-V,Rajasthan,NR,"Generating station, including REGS, without ESS",150.0,38.0,28.05.2025,,150.0,,Solar,,Granted,150.0,31.10.2030,No,,,30-04-2027,,"EL-F0D41, EL-18947, EL-85CFA","EL-33D77, EL-85255, EL-26318, EL-83F06, EL-B8D32, EL-23675, EL-9893C, EL-745F8, EL-A346C, EL-905E4, EL-35672",LOA or PPA,True,150.0
,27-02-2025,ACME Taurus Urja Private Limited,2200001797,,,Bikaner-VI,Rajasthan,NR,"Generating station, including REGS, without ESS",300.0,38.0,28.05.2025,,300.0,,Solar,,Applied,,,,,,31/03/2027,,,,Land Route,True,300.0
,28-02-2025,Apraava Energy Private Limited,2200001798,,,Bikaner-VI,Rajasthan,NR,"Generating station, including REGS, without ESS",600.0,38.0,28.05.2025,,600.0,,Solar,,Applied,,,,,,31-12-2028,,,,Land BG Route,True,600.0
,01.03.2025,Mahanadi Renewable Energy Private Limited,2200001807,,220.0,Ramgarh-III,Rajasthan,NR,"Generating station, including REGS, with ESS",280.0,38.0,28.05.2025,280.0,280.0,,Solar+BESS,,Granted,280.0,31.12.2031,No,,,30.06.2030,,"EL-C5410, EL-31BA6","EL-34603, EL-7128D, EL-3F657, EL-A4C4E, EL-B2193, EL-C5217, EL-6EB09, EL-4B103, EL-EAAE1",Land BG Route,True,280.0
,03.03.2025,Godavari Green Energy Private Limited,2200001810,,220.0,Sanchore-I,Rajasthan,NR,"Generating station, including REGS, with ESS",250.0,38.0,28.05.2025,250.0,250.0,,Solar+BESS,,Granted,250.0,30.06.2031,No,,,30.06.2030,,"EL-13290, EL-079D8","EL-AD038, EL-48EFF, EL-7E7E2, EL-05218, EL-25665, EL-C5217, EL-0FE43, EL-4B103, EL-F7B5C",Land BG Route,True,250.0
,07-03-2025,Vismaya Four Renewables Private Limited,2200001827,,220.0,Bhadla-V,Rajasthan,NR,"Generating station, including REGS, with ESS",300.0,38.0,28.05.2025,60.0,300.0,,Solar+BESS,,Granted,300.0,01.10.2031,No,,,01.10.2031,,"EL-9915B, EL-C5523","EL-654AA, EL-A9814, EL-3CFCF, EL-2D90B, EL-5523F, EL-75882, EL-0BF7F, EL-65D44, EL-B4A45",Land BG Route,True,300.0
,20.03.2025,Sabarmati Green Energy Private Limited,2200001862,,220.0,Jalore-I,Rajasthan,NR,"Generating station, including REGS, with ESS",250.0,38.0,28.05.2025,250.0,250.0,,Solar+BESS,,Granted,250.0,30.06.2031,No,,,30.09.2030,,"EL-0D2E2, EL-4C759","EL-AD038, EL-48EFF, EL-7E7E2, EL-35A84, EL-90D75, EL-57662, EL-C5217, EL-0FE43, EL-4B103, EL-77D24",Land BG Route,True,250.0
,20.03.2025,Renew Solar Power Private Limited,2200001864,,400.0,Bhadla-V,Rajasthan,NR,"Generating station, including REGS, without ESS",300.0,38.0,28.05.2025,,300.0,,Solar,,Granted,300.0,30.09.2031,No,,,30.04.2027,,"EL-94625, EL-A658A","EL-654AA, EL-A9814, EL-3CFCF, EL-2D90B, EL-5523F, EL-75882, EL-0BF7F, EL-65D44, EL-B4A45",LOA or PPA,True,300.0
,20.03.2025,Renew Solar Power Private Limited,2200001866,,220.0,Pali-I,Rajasthan,NR,"Generating station, including REGS, without ESS",300.0,38.0,28.05.2025,,300.0,,Solar,,Granted,300.0,30.06.2031,No,,,30.04.2027,,"EL-20781, EL-60909","EL-79C2B, EL-879F3, EL-F1C33, EL-C89B9, EL-F8BB6, EL-C5217, EL-DB837, EL-4B103, EL-00011",LOA or PPA,True,300.0
