sl_no,state,region,pooling_ss,additional_information_of_pooling_ss,timelines,re_potential_mw,bess_mw,ss_evacuation_capacity_mw,expected_cod_of_pooling_station,connectivity_granted_1_200kv_mw,connectivity_granted_1_400kv_mw,connectivity_granted_1_total_mw,connectivity_granted_2_200kv_mw,connectivity_granted_2_400kv_mw,connectivity_granted_2_total_mw,margin_for_connectivity_200kv_mw,margin_for_connectivity_400kv_mw,margin_for_connectivity_total_mw,additional_margin_200kv_mw,additional_margin_400kv_mw,additional_margin_total_mw,effectiveness_of_gna,remarks
53,Gujarat,WR,Jam Khambhaliya PS,,Existing,2000.0,,2000.0,Existing,1969.0,0.0,1969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Existing Tr. System.,
54,Maharashtra,WR,Kallam PS,Ph-I,Existing,1000.0,,1000.0,Existing,916.0,0.0,916.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1GW: Commissioned,
55,Madhya Pradesh,WR,Pachora PS,,Existing,1500.0,,1500.0,Existing,1398.0,,1398.0,0.0,,0.0,0.0,0.0,0.0,,,,1.5GW: Commissioned,
56,Madhya Pradesh,WR,Neemuch PS,,Existing,1000.0,,1000.0,Existing,950.0,,950.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1GW: Commissioned,
57,Maharashtra,WR,Solapur S/s,,Existing,2000.0,,2000.0,Existing,,2000.0,2000.0,,0.0,0.0,,0.0,0.0,,,,"Sep-24: Under Scope of applicant (ReNew). 
NO FURTHER MARGINS LEFT BEYOND 2GW. Application for 237MW needs 
to be deliberated.
Connectivity of  (100+76+48MW) of Renew has been revoked under non-
compliance of 24.6 & the matter is presently subjudice.",
58,Gujarat,WR,Khavda I PS,Sec I,Existing,3000.0,,3000.0,Existing,,3000.0,3000.0,,,0.0,0.0,0.0,0.0,,,,3GW: Commissioned,
59,Gujarat,WR,Khavda complex,,Between Jul-26 to Jun'25,10500.0,,10500.0,,0.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
59a,Gujarat,WR,Khavda I PS,Sec II,Between Jul-26 to Jun'25,4500.0,,4500.0,Sec-II: Jan'25,,4500.0,4500.0,,,0.0,0.0,0.0,0.0,,,,"•Ph-1: 3GW -  KPS1 (Comm) / KPS2: Jan'25(SCOD)/ Sep'25 (ACOD)
•Ph-2: 5GW- Mar'25 (SCOD)/Nov'25 (ACOD)
•Ph-3: 7GW- Dec'25 (SCOD)/ Jun'26 (ACOD)",
59b,Gujarat,WR,Khavda II PS,Sec-I & II,Between Jul-26 to Jun'25,3000.0,,3000.0,Sec-I & II: Jan'25,,3000.0,3000.0,,,0.0,0.0,0.0,0.0,,,,,
59c,Gujarat,WR,Khvada III PS,Sec-I,Between Jul-26 to Jun'25,3000.0,,3000.0,Jan'25,,3000.0,3000.0,,,0.0,0.0,0.0,0.0,,,,,
