page,source_table_id,raw_data,region,state,district,complex,s_s,location_village_tehsil,solar,wind,hybrid,others_ctuil,re_potential_gw,installed_capacity,uc_granted_capacity,transmission_scheme,complex_2,remarks
28,113,"['', '• \nEstablishment of 4x1500 MVA, 765/400 kV & 6x500 MVA, 400/220 kV Pooling Station near Kadapa (Kadapa II PS), Andhra']",,,,,,,,,,,,,,,,
28,113,"['', '• \nLILO of both circuits of Anantapur-II – Cuddapah 765 kV D/c line at Kadapa-II PS (~10 km)']",,,,,,,,,,,,,,,,
29,115,"['Sub Total (Karnataka)', '8\n9\n14\n3\n11']",,,,,,,,,,,,,,,,
29,115,"['', '• \nEstablishment of 6x1500 MVA, 765/400 kV & 3x500 MVA, 400/220 kV Koppal-II Pooling Station near Koppal, Karnataka']",,,,,,,,,,,,,,,,
29,115,"['', '• \nEstablishment of 3x500 MVA, 400/220 kV Gadag-II Pooling Station near Gadag, Karnataka along with 2x125 MVAr']",,,,,,,,,,,,,,,,
29,115,"['', 'Karnataka along with 2x125 MVAr 420 kV bus reactors at Devanagere / Chitragurga PS (1 GW injection at 220 kV level']",,,,,,,,,,,,,,,,
29,115,"['', '• \nEstablishment  of  3x500  MVA,  400/220  kV  Bijapur  Pooling  Station  near  Bijapur  (Vijayapura),  Karnataka  along  with']",,,,,,,,,,,,,,,,
30,116,"['', '• \nEstablishment of 4x500 MVA, 400/220 kV Tumkur-II Pooling Station near Tumkur, Karnataka along with 2x125 MVAr']",,,,,,,,,,,,,,,,
30,116,"['', '• \nEstablishment of 4x500 MVA, 400/220 kV Bellary Pooling Station near Bellary, Karnataka along with 2x125 MVAr 400']",,,,,,,,,,,,,,,,
31,117,"['Sub Total (Telangana)', '3\n10\n11.5\n3\n8.5']",,,,,,,,,,,,,,,,
32,118,"['', '5.6.4  Transmission System for 5 GW Offshore wind farm (Sub Zone B1 to B4 & G1 to G3) in Tamil Nadu', '']",,,,,,,,,,,,,,,,
32,119,"['', '• \nEstablishment of 12x500 MVA, 400/230 kV Onshore Pooling Station near Avaraikulam, Tirunelveli District in Tamil']",,,,,,,,,,,,,,,,
40,130,"['', 'Energy Zones (SEZs) in Rajasthan (8.1 GW) under Phase-II-', '']",,,,,,,,,,,,,,,,
40,131,"['', 'Anantapur (Anantapur) (2500 MW) and Kurnool', 'suitable border location between Anantapur & Kurnool Distt']",,,,,,,,,,,,,,,,
40,131,"['', '(1000 MW), Andhra Pradesh', '']",,,,,,,,,,,,,,,,
40,131,"['', '', 'Anantapur PS-Kurnool-III PS 400 kV D/c line']",,,,,,,,,,,,,,,,
40,131,"['', '', 'Anantapur PS-Cuddapah 400 kV D/c Line']",,,,,,,,,,,,,,,,
40,131,"['', 'RE sources in Kurnool Wind Energy Zone (3000 MW)/', 'Pooling station at suitable location in Kurnool Distt (Kurnool-']",,,,,,,,,,,,,,,,
40,131,"['', '', 'Kurnool –III PS – Kurnool (New) 765 kV  D/c line']",,,,,,,,,,,,,,,,
